startup_id,BC_Q1a,BC_Q1b,BC_Q2a,BC_Q2b,BC_Q2c,BC_Q3_val,BC_Q3a,BC_Q3b,BC_Q4a,BC_Q4b,BC_Q4c,BC_Q5a,BC_Q5b,BC_Q5c,BC_Q5d,IS_Q1a,IS_Q1b,IS_Q10,IS_Q2a,IS_Q2b,IS_Q3,IS_Q4,IS_Q5a,IS_Q5b,IS_Q6,IS_Q7,IS_Q8,IS_Q9a,IS_Q9b,PMF_Q1a,PMF_Q1b,PMF_Q10,PMF_Q11,PMF_Q12,PMF_Q13,PMF_Q14,PMF_Q15,PMF_Q16,PMF_Q17,PMF_Q18,PMF_Q19,PMF_Q2,PMF_Q20,PMF_Q21,PMF_Q22,PMF_Q23,PMF_Q24,PMF_Q25,PMF_Q26,PMF_Q27,PMF_Q28,PMF_Q29,PMF_Q3,PMF_Q30,PMF_Q31,PMF_Q32,PMF_Q33,PMF_Q34,PMF_Q4,PMF_Q5,PMF_Q6,PMF_Q7,PMF_Q8,PMF_Q9a,PMF_Q9b,M_Q1a,M_Q1b,M_Q10,M_Q11a,M_Q11b,M_Q12,M_Q2,M_Q3,M_Q4,M_Q5,M_Q6,M_Q7,M_Q8,M_Q9,TP_Q1,TP_Q10,TP_Q11,TP_Q12a,TP_Q12b,TP_Q13,TP_Q14,TP_Q15a,TP_Q15b,TP_Q16,TP_Q2,TP_Q3,TP_Q4,TP_Q5_val,TP_Q5a,TP_Q5b,TP_Q5c,TP_Q6_val,TP_Q6a,TP_Q6b,TP_Q7_val,TP_Q7a,TP_Q7b,TP_Q7c,TP_Q8,TP_Q9,F_Q1,F_Q10a,F_Q10b,F_Q11a,F_Q11b,F_Q12,F_Q13,F_Q14a,F_Q14b,F_Q15,F_Q16a,F_Q16b,F_Q16c,F_Q16d,F_Q17,F_Q18,F_Q19a,F_Q19b,F_Q2a,F_Q2b,F_Q20a,F_Q20b,F_Q21,F_Q22,F_Q23,F_Q24,F_Q25,F_Q26,F_Q27a,F_Q27b,F_Q28,F_Q29,F_Q3a,F_Q3b,F_Q4,F_Q5,F_Q6a,F_Q6b,F_Q6c,F_Q7,F_Q8,F_Q9,L_Q1,L_Q10,L_Q11,L_Q12,L_Q13,L_Q14,L_Q15,L_Q16,L_Q17,L_Q18,L_Q19,L_Q2,L_Q20,L_Q21,L_Q22,L_Q23,L_Q24,L_Q25,L_Q26,L_Q27,L_Q28,L_Q29,L_Q3,L_Q30,L_Q31,L_Q32,L_Q33,L_Q34,L_Q35,L_Q36,L_Q37,L_Q38,L_Q39,L_Q4,L_Q40,L_Q41,L_Q42,L_Q43,L_Q44,L_Q45,L_Q46,L_Q47,L_Q48,L_Q49,L_Q5,L_Q50,L_Q51,L_Q52,L_Q53,L_Q6,L_Q7,L_Q8,L_Q9,T_Q1a,T_Q1b,T_Q10,T_Q11,T_Q12,T_Q13,T_Q14,T_Q15a,T_Q15b,T_Q16a,T_Q16b,T_Q17a,T_Q17b,T_Q18a,T_Q18b,T_Q19a,T_Q19b,T_Q2_val,T_Q2a,T_Q2b,T_Q20,T_Q21a,T_Q21b,T_Q22,T_Q23,T_Q24,T_Q25,T_Q26a,T_Q26b,T_Q26c,T_Q27a,T_Q27b,T_Q27c,T_Q28a,T_Q28b,T_Q28c,T_Q29a,T_Q29b,T_Q29c,T_Q3_val,T_Q3a,T_Q3b,T_Q30a,T_Q30b,T_Q30c,T_Q31,T_Q4a,T_Q4b,T_Q5a,T_Q5b,T_Q6,T_Q7,T_Q8,T_Q9,ES_Q1,ES_Q10a,ES_Q10b,ES_Q11a,ES_Q11b,ES_Q11c,ES_Q12,ES_Q13,ES_Q14,ES_Q15,ES_Q16a,ES_Q16b,ES_Q16c,ES_Q17,ES_Q18a,ES_Q18b,ES_Q19a,ES_Q19b,ES_Q2,ES_Q20a,ES_Q20b,ES_Q21,ES_Q22,ES_Q23a,ES_Q23b,ES_Q24,ES_Q25,ES_Q26,ES_Q27,ES_Q28,ES_Q29,ES_Q3,ES_Q30,ES_Q31,ES_Q32a,ES_Q32b,ES_Q33,ES_Q34,ES_Q4,ES_Q5,ES_Q6,ES_Q7a,ES_Q7b,ES_Q7c,ES_Q8,ES_Q9,IP_Q1,IP_Q10,IP_Q11,IP_Q12,IP_Q13,IP_Q14,IP_Q15,IP_Q16,IP_Q17,IP_Q18,IP_Q19,IP_Q2,IP_Q20,IP_Q21,IP_Q22a,IP_Q22b,IP_Q22c,IP_Q23,IP_Q24,IP_Q25,IP_Q26,IP_Q27,IP_Q28,IP_Q29,IP_Q3,IP_Q30,IP_Q31,IP_Q32,IP_Q33,IP_Q34,IP_Q35,IP_Q36,IP_Q37,IP_Q38,IP_Q39,IP_Q4,IP_Q40,IP_Q41,IP_Q42,IP_Q43,IP_Q44,IP_Q45,IP_Q46,IP_Q47,IP_Q48,IP_Q49,IP_Q5,IP_Q50a,IP_Q50b,IP_Q51,IP_Q52,IP_Q53a,IP_Q53b,IP_Q53c,IP_Q54,IP_Q55,IP_Q56,IP_Q57,IP_Q58,IP_Q6,IP_Q7,IP_Q8,IP_Q9,total_binary_passed,ai_auto_passed,human_verified_passed,total_score_pct,resolved_count,ambiguous_count,missing_legacy_count
surge_hydro_2016,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,-1,-1,1,1,1,1,1,0,1,-1,,1,1,1,-1,-1,-1,,,,,1,1,1,1,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,1,1,1,0,1,1,0,0,-1,-1,-1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,1,1,0,-1,1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,1,1,1,0,1,0,0,0,-1,1,1,1,1,0,0,-1,0,0,1,1,1,1,1,0,1,-1,-1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,148,124,24,41.46,293,62,8
proper_pipe_inc_2016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,0,-1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,1,-1,1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,-1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,-1,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,134,111,23,37.54,309,51,3
pv_pure_2016,1,1,1,1,1,0,0,0,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,-1,0,0,-1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,1,1,0,-1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,0,1,1,0,1,-1,-1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,1,0,0,-1,1,0,1,0,-1,1,-1,-1,-1,1,1,0,1,-1,-1,0,-1,0,0,0,1,1,1,0,-1,0,0,1,0,-1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,-1,0,1,1,1,0,1,,1,1,0,0,0,1,,,0,0,0,0,1,0,0,1,-1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,1,1,0,0,0,-1,1,0,0,-1,0,-1,1,1,0,0,1,1,1,1,0,0,1,1,-1,-1,-1,0,158,143,15,44.26,296,61,6
greenblu_2016,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,-1,-1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,-1,-1,1,0,1,1,0,0,-1,0,,1,1,1,0,0,0,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,-1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,1,1,0,0,-1,-1,1,1,1,1,-1,1,0,0,1,1,1,1,1,-1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,-1,1,1,1,1,1,1,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,146,124,22,40.9,308,49,6
kraftwerk_inc_2016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,-1,1,0,0,0,1,-1,-1,-1,1,1,0,1,0,0,1,-1,0,1,1,-1,1,0,0,-1,1,1,1,1,0,0,1,1,0,1,1,1,1,-1,-1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,-1,1,1,1,0,0,0,0,0,0,1,-1,1,1,1,-1,0,0,,1,1,1,,1,1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,-1,0,1,1,1,0,0,1,1,0,-1,0,1,1,0,0,-1,0,1,0,1,1,-1,-1,-1,1,1,-1,0,0,-1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,-1,-1,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,0,0,0,1,-1,-1,-1,0,1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,1,0,0,1,1,1,-1,-1,1,-1,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,0,1,1,0,-1,-1,0,0,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,-1,1,-1,0,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,0,-1,0,1,-1,0,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,130,108,22,36.41,264,94,5
viva_green_homes_2016,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,95,15,30.81,331,28,4
nelumbo_2016,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1,1,1,0,0,-1,0,0,0,0,0,0,1,1,1,0,-1,-1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,0,0,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,-1,-1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,-1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,-1,1,1,-1,1,1,0,1,0,0,1,1,1,1,-1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,-1,0,1,1,0,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,-1,108,90,18,30.25,304,55,4
birmingham_technologies_2016,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,-1,1,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,1,1,1,0,1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,1,1,1,0,1,0,-1,-1,-1,-1,1,0,0,0,0,-1,0,-1,1,1,-1,-1,1,-1,1,0,-1,0,-1,-1,0,0,-1,1,1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,1,-1,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,0,0,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,1,-1,0,-1,0,0,0,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,,1,1,-1,-1,1,0,0,-1,-1,-1,0,0,0,0,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,-1,0,1,-1,-1,0,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,96,86,10,26.89,203,156,4
big_blue_technologies_2016,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,0,-1,-1,0,-1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,0,-1,1,1,-1,-1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,-1,0,1,-1,1,1,0,-1,0,0,0,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,0,-1,-1,0,0,-1,-1,,,,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,0,1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,-1,155,141,14,43.42,216,143,4
crystal_clear_technologies_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,1,-1,0,0,0,0,-1,0,-1,1,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,0,0,-1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,1,0,-1,1,1,-1,-1,0,1,0,1,-1,1,1,1,1,1,1,1,-1,-1,0,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,-1,1,-1,1,-1,-1,-1,-1,0,0,1,1,0,-1,0,0,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,,1,1,0,1,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,-1,1,-1,-1,1,-1,-1,0,-1,0,1,-1,0,0,1,-1,-1,-1,-1,1,0,0,-1,0,-1,-1,0,0,129,111,18,36.13,264,95,4
